gender,seniorcitizen,partner,dependents,tenure,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,contract,paperlessbilling,paymentmethod,monthlycharges,churn,servicephone,streaming
female,0,yes,no,1,dsl,no,yes,no,no,month-to-month,yes,electronic check,29.85,no,no,no
male,0,no,no,2,dsl,yes,yes,no,no,month-to-month,yes,mailed check,53.85,yes,yes,no
female,0,no,no,2,fiber optic,no,no,no,no,month-to-month,yes,electronic check,70.7,yes,yes,no
female,0,no,no,8,fiber optic,no,no,yes,no,month-to-month,yes,electronic check,99.65,yes,yes,yes
female,0,no,no,10,dsl,yes,no,no,no,month-to-month,no,mailed check,29.75,no,no,no
female,0,yes,no,28,fiber optic,no,no,yes,yes,month-to-month,yes,electronic check,104.8,yes,yes,yes
male,0,no,yes,62,dsl,yes,yes,no,no,one year,no,bank transfer (automatic),56.15,no,yes,no
male,0,yes,yes,13,dsl,yes,no,no,no,month-to-month,yes,mailed check,49.95,no,yes,no
male,0,no,no,16,no,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),18.95,no,yes,no
male,0,no,no,25,fiber optic,yes,no,yes,yes,month-to-month,yes,electronic check,105.5,no,yes,yes
female,0,yes,yes,69,fiber optic,yes,yes,yes,yes,two year,no,credit card (automatic),113.25,no,yes,yes
female,0,no,no,52,no,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.65,no,yes,no
male,0,no,yes,71,fiber optic,yes,no,yes,no,two year,no,bank transfer (automatic),106.7,no,yes,yes
female,0,yes,yes,10,dsl,no,no,yes,yes,month-to-month,no,credit card (automatic),55.2,yes,yes,no
female,0,no,no,21,fiber optic,no,yes,yes,no,month-to-month,yes,electronic check,90.05,no,yes,no
male,1,no,no,1,dsl,no,no,yes,no,month-to-month,yes,electronic check,39.65,yes,no,no
male,0,yes,no,12,no,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),19.8,no,yes,no
male,0,no,no,1,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.15,yes,yes,no
female,0,yes,no,58,dsl,no,yes,no,yes,two year,yes,credit card (automatic),59.9,no,yes,no
male,0,yes,yes,49,dsl,yes,yes,no,yes,month-to-month,no,credit card (automatic),59.6,no,yes,no
female,0,no,no,30,dsl,yes,yes,no,no,month-to-month,yes,bank transfer (automatic),55.3,no,yes,no
male,0,yes,yes,47,fiber optic,no,yes,no,no,month-to-month,yes,electronic check,99.35,yes,yes,yes
male,0,yes,yes,1,dsl,no,yes,no,no,month-to-month,no,electronic check,30.2,yes,no,no
male,0,yes,no,72,dsl,yes,yes,yes,yes,two year,yes,credit card (automatic),90.25,no,yes,yes
female,0,no,yes,17,dsl,no,no,no,no,month-to-month,yes,mailed check,64.7,yes,yes,yes
female,1,yes,no,71,fiber optic,yes,yes,yes,yes,two year,yes,credit card (automatic),96.35,no,yes,no
male,1,yes,no,2,fiber optic,no,no,yes,no,month-to-month,yes,credit card (automatic),95.5,no,yes,yes
female,0,yes,yes,27,dsl,yes,yes,yes,yes,one year,no,mailed check,66.15,no,yes,no
male,0,no,no,1,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),20.2,no,yes,no
male,1,no,no,1,dsl,no,no,no,no,month-to-month,no,bank transfer (automatic),45.25,no,yes,no
female,0,yes,yes,72,fiber optic,yes,yes,no,yes,two year,no,bank transfer (automatic),99.9,no,yes,yes
male,0,no,no,5,fiber optic,no,no,no,no,month-to-month,yes,electronic check,69.7,yes,yes,no
female,0,no,no,46,fiber optic,no,no,yes,no,month-to-month,yes,credit card (automatic),74.8,no,yes,no
male,0,no,no,34,fiber optic,no,yes,yes,no,month-to-month,yes,electronic check,106.35,yes,yes,yes
female,0,no,no,11,fiber optic,no,no,yes,no,month-to-month,yes,bank transfer (automatic),97.85,yes,yes,yes
male,0,yes,yes,10,dsl,no,yes,no,no,one year,no,mailed check,49.55,no,yes,no
female,0,yes,yes,70,dsl,yes,yes,no,no,two year,yes,credit card (automatic),69.2,no,yes,yes
female,0,yes,yes,17,no,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.75,no,yes,no
female,0,no,no,63,dsl,yes,yes,yes,yes,two year,yes,credit card (automatic),79.85,no,yes,yes
female,0,yes,no,13,dsl,yes,yes,no,yes,month-to-month,yes,electronic check,76.2,no,yes,yes
female,0,no,no,49,fiber optic,no,no,no,no,month-to-month,yes,electronic check,84.5,no,yes,no
male,0,no,no,2,dsl,no,yes,no,no,month-to-month,no,mailed check,49.25,no,yes,no
female,0,no,no,2,fiber optic,no,no,no,no,month-to-month,yes,electronic check,80.65,yes,yes,yes
male,0,no,no,52,dsl,yes,no,no,yes,two year,yes,credit card (automatic),79.75,no,yes,yes
female,0,yes,yes,69,dsl,yes,no,yes,yes,two year,yes,credit card (automatic),64.15,no,yes,no
female,1,no,no,43,fiber optic,no,yes,no,no,month-to-month,yes,electronic check,90.25,no,yes,yes
female,0,no,no,15,fiber optic,yes,yes,no,no,month-to-month,yes,credit card (automatic),99.1,yes,yes,yes
female,1,yes,no,25,dsl,yes,no,no,yes,month-to-month,yes,credit card (automatic),69.5,no,yes,yes
female,1,yes,no,8,fiber optic,no,yes,no,no,month-to-month,yes,credit card (automatic),80.65,yes,yes,no
female,1,yes,yes,60,dsl,yes,yes,yes,yes,one year,yes,credit card (automatic),74.85,no,yes,no
male,1,no,no,18,fiber optic,no,no,no,no,month-to-month,yes,electronic check,95.45,yes,yes,yes
female,0,yes,yes,63,fiber optic,yes,no,no,no,one year,yes,credit card (automatic),99.65,no,yes,yes
male,1,yes,yes,66,fiber optic,no,yes,yes,yes,one year,yes,electronic check,108.45,no,yes,yes
female,0,yes,yes,34,no,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),24.95,no,yes,no
female,0,no,no,72,fiber optic,no,no,yes,yes,two year,yes,credit card (automatic),107.5,no,yes,yes
female,0,yes,no,47,fiber optic,no,no,yes,no,month-to-month,yes,electronic check,100.5,no,yes,yes
male,0,no,no,60,fiber optic,no,yes,no,no,month-to-month,yes,bank transfer (automatic),89.9,no,yes,yes
male,0,yes,no,72,dsl,yes,yes,yes,no,two year,no,bank transfer (automatic),42.1,no,no,no
female,0,yes,yes,18,dsl,no,no,yes,yes,one year,yes,credit card (automatic),54.4,no,yes,no
female,0,no,no,9,fiber optic,no,no,no,no,month-to-month,no,electronic check,94.4,yes,yes,yes
female,0,no,no,3,dsl,no,yes,no,yes,month-to-month,yes,electronic check,75.3,no,yes,yes
male,0,yes,no,47,fiber optic,no,yes,no,no,one year,yes,electronic check,78.9,no,yes,no
female,0,no,no,31,dsl,no,yes,yes,yes,two year,no,mailed check,79.2,no,yes,yes
female,0,yes,yes,50,no,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.15,no,yes,no
male,0,no,no,10,fiber optic,yes,no,yes,no,month-to-month,yes,mailed check,79.85,no,yes,no
male,0,no,no,1,dsl,no,no,no,yes,month-to-month,no,mailed check,49.05,no,yes,no
female,0,yes,yes,52,no,no internet service,no internet service,no internet service,no internet service,one year,yes,electronic check,20.4,no,yes,no
male,1,yes,yes,64,fiber optic,yes,no,yes,yes,two year,yes,bank transfer (automatic),111.6,no,yes,yes
male,0,yes,yes,62,no,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),24.25,no,yes,no
female,0,no,yes,3,dsl,yes,no,no,yes,month-to-month,yes,bank transfer (automatic),64.5,no,yes,no
female,1,no,no,56,fiber optic,yes,yes,yes,no,one year,no,electronic check,110.5,no,yes,yes
female,0,no,no,46,dsl,no,no,no,no,one year,no,credit card (automatic),55.65,no,yes,no
female,0,yes,yes,8,dsl,yes,yes,no,no,month-to-month,no,mailed check,54.65,no,yes,no
male,1,no,no,30,dsl,yes,yes,no,no,month-to-month,yes,electronic check,74.75,no,yes,yes
female,0,yes,yes,45,no,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card (automatic),25.9,no,yes,no
female,0,no,yes,1,fiber optic,no,no,no,no,month-to-month,yes,electronic check,79.35,yes,yes,yes
female,0,yes,yes,11,dsl,yes,no,no,no,month-to-month,no,electronic check,50.55,no,no,yes
female,0,yes,no,7,fiber optic,no,no,yes,no,month-to-month,yes,bank transfer (automatic),75.15,yes,yes,no
female,0,no,no,42,fiber optic,no,yes,yes,yes,month-to-month,yes,bank transfer (automatic),103.8,no,yes,yes
female,0,yes,no,49,no,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),20.15,no,yes,no
male,0,no,no,9,fiber optic,no,yes,no,no,month-to-month,yes,credit card (automatic),99.3,no,yes,yes
female,0,yes,no,35,dsl,yes,no,no,no,one year,yes,bank transfer (automatic),62.15,no,yes,yes
female,0,yes,yes,48,no,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.65,no,yes,no
female,0,yes,yes,46,no,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.95,no,yes,no
male,0,yes,no,29,dsl,no,no,no,no,month-to-month,no,mailed check,33.75,no,no,yes
male,0,yes,yes,30,fiber optic,no,yes,yes,no,month-to-month,no,bank transfer (automatic),82.05,no,yes,no
male,1,no,no,1,fiber optic,no,no,no,yes,month-to-month,no,electronic check,74.7,no,yes,no
male,0,yes,yes,66,dsl,yes,no,yes,yes,two year,yes,mailed check,84.0,no,yes,yes
female,0,no,no,65,fiber optic,yes,yes,yes,no,month-to-month,yes,credit card (automatic),111.05,no,yes,yes
male,0,no,no,72,fiber optic,no,yes,yes,no,two year,yes,bank transfer (automatic),100.9,no,yes,yes
female,0,no,no,12,fiber optic,yes,no,no,no,month-to-month,yes,electronic check,78.95,yes,yes,no
male,0,yes,yes,71,dsl,yes,yes,no,yes,one year,yes,credit card (automatic),66.85,no,yes,no
male,0,no,no,5,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,21.05,yes,yes,no
male,0,no,no,52,no,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),21.0,no,yes,no
female,1,yes,no,25,fiber optic,no,yes,yes,no,month-to-month,yes,electronic check,98.5,yes,yes,yes
male,0,no,no,1,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.2,no,yes,no
female,0,yes,yes,1,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,19.45,no,yes,no
male,0,no,no,38,fiber optic,no,no,yes,yes,one year,no,bank transfer (automatic),95.0,no,yes,yes
female,1,yes,no,66,dsl,no,yes,yes,no,one year,no,bank transfer (automatic),45.55,no,no,yes
male,0,yes,no,68,fiber optic,no,yes,yes,yes,two year,yes,bank transfer (automatic),110.0,yes,yes,yes
male,0,no,no,5,dsl,no,no,no,no,month-to-month,no,mailed check,24.3,no,no,no
female,0,yes,yes,72,fiber optic,yes,yes,no,no,one year,yes,electronic check,104.15,no,yes,yes
female,0,no,no,32,dsl,yes,no,no,no,one year,no,mailed check,30.15,no,no,no
male,0,no,no,43,fiber optic,no,no,no,no,one year,no,mailed check,94.35,no,yes,yes
male,0,yes,yes,72,no,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.4,no,yes,no
male,0,yes,no,55,fiber optic,yes,yes,no,no,month-to-month,yes,electronic check,96.75,yes,yes,yes
female,0,no,no,52,dsl,yes,no,yes,yes,one year,no,credit card (automatic),57.95,no,yes,no
female,0,no,no,43,fiber optic,no,yes,yes,no,month-to-month,yes,electronic check,91.65,no,yes,yes
